case_id,disease_name,final_label,final_total_score,reject_reasons
26ff8126-22c6-58ce-86ad-0d6d7134e780,猪瘟,pass,95.0,too_few_standard_citations|missing_answer_json
a2f3572b-3a8b-593d-a9dd-a4f7f4215270,猪布鲁氏菌病,pass,92.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
a0b141c8-2361-5d5a-ada0-453be691f5e2,非洲猪瘟,pass,91.0,too_few_standard_citations|missing_answer_json
6c7aceb4-bbba-59c8-9bf8-05e8a13f26c0,猪口蹄疫,pass,91.0,too_few_standard_citations|missing_answer_json
19be0f73-13fa-5814-a556-346a193d0919,仔猪黄白痢,pass,91.0,too_few_standard_citations|missing_answer_json
d1f42a16-937b-5e3c-922f-7ad0e8d48d5a,猪钩端螺旋体病,pass,91.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
c84fcd21-f556-5b4e-b08e-782ca3f72006,猪黄曲霉毒素中毒,pass,91.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
e96084c0-576a-51c8-b254-064bdeb2af4c,猪亚硝酸盐中毒,pass,91.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
0590a102-655c-5317-b1b2-8d2a5808b669,非洲猪瘟,pass,91.0,too_few_standard_citations|missing_answer_json
17ea805a-a0a8-5bce-ab6c-b1aadee5641b,猪瘟,pass,91.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
0b1eaad9-4b84-5392-94b4-db41c9c2267d,猪口蹄疫,pass,91.0,too_few_standard_citations|missing_answer_json
4d571870-62e6-52bc-8852-0bc3e19d47bc,猪霉菌毒素中毒,pass,91.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
2ab58fb3-90d2-5ed8-b170-528b86021677,猪球虫病,pass,90.0,target_disease_alias_not_in_diagnosis|too_few_standard_citations|missing_answer_json
