kind,title,path,evidence_status,has_a0_moa,needs_review,china_pending,empty_auto_facets,local_only,raw_moa_saved_pages,severity,reasons
drug,Praziquantel / 吡喹酮,wiki\drugs\DRUG-075-praziquantel.md,NEEDS_REVIEW,False,True,False,0,False,0,6,drug_needs_review;drug_a0_moa_missing
drug,Altrenogest / 烯丙孕素,wiki\drugs\DRUG-068-altrenogest.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Amikacin / 阿米卡星,wiki\drugs\DRUG-074-amikacin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Aminoglycosides / 氨基糖苷类,wiki\drugs\DRUG-033-aminoglycosides.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Amitraz / 双甲脒,wiki\drugs\DRUG-058-amitraz.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Amoxicillin / 阿莫西林,wiki\drugs\DRUG-010-amoxicillin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Amoxicillin/clavulanic acid / 阿莫西林克拉维酸,wiki\drugs\DRUG-043-amoxicillin-clavulanic-acid.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Ampicillin / 氨苄西林,wiki\drugs\DRUG-042-ampicillin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Amprolium HCl / 盐酸氨丙啉,wiki\drugs\DRUG-062-amprolium.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Anticoccidials / 抗球虫药,wiki\drugs\DRUG-006-anticoccidials.md,HUMAN_REVIEWED,False,False,False,0,False,0,3,drug_a0_moa_missing
drug,Apramycin / 安普霉素,wiki\drugs\DRUG-025-apramycin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Avermectins / 阿维菌素类,wiki\drugs\DRUG-001-avermectins.md,HUMAN_REVIEWED,False,False,False,0,False,0,3,drug_a0_moa_missing
drug,Bacitracin methylene disalicylate / 亚甲基双水杨酸杆菌肽,wiki\drugs\DRUG-053-bacitracin-methylene-disalicylate.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Benzimidazoles / 苯并咪唑类,wiki\drugs\DRUG-005-benzimidazoles.md,HUMAN_REVIEWED,False,False,False,0,False,0,3,drug_a0_moa_missing
drug,Beta-lactams / β-内酰胺类,wiki\drugs\DRUG-035-beta-lactams.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Cefquinome / 头孢喹肟,wiki\drugs\DRUG-044-cefquinome.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Ceftiofur / 头孢噻呋,wiki\drugs\DRUG-011-ceftiofur.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Danofloxacin / Marbofloxacin / 达氟沙星/马波沙星,wiki\drugs\DRUG-051-danofloxacin-marbofloxacin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Dexamethasone / 地塞米松,wiki\drugs\DRUG-066-dexamethasone.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Dichlorvos / 敌敌畏,wiki\drugs\DRUG-076-dichlorvos.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Doramectin / 多拉菌素,wiki\drugs\DRUG-003-doramectin.md,HUMAN_REVIEWED,False,False,False,0,False,0,3,drug_a0_moa_missing
drug,Erythromycin / 红霉素,wiki\drugs\DRUG-073-erythromycin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Fenbendazole / 芬苯达唑,wiki\drugs\DRUG-004-fenbendazole.md,HUMAN_REVIEWED,False,False,False,0,False,0,3,drug_a0_moa_missing
drug,Flunixin meglumine / 氟尼辛葡甲胺,wiki\drugs\DRUG-064-flunixin-meglumine.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Gentamicin / 庆大霉素,wiki\drugs\DRUG-023-gentamicin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Iron dextran / 右旋糖酐铁,wiki\drugs\DRUG-028-iron-dextran.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Ivermectin / 伊维菌素,wiki\drugs\DRUG-002-ivermectin.md,HUMAN_REVIEWED,False,False,False,0,False,0,3,drug_a0_moa_missing
drug,Ketoprofen / Sodium salicylate / Indomethacin / 酮洛芬/水杨酸钠/吲哚美辛,wiki\drugs\DRUG-065-ketoprofen-sodium-salicylate-indomethacin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Levamisole / 左旋咪唑,wiki\drugs\DRUG-056-levamisole.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Lincomycin / 林可霉素,wiki\drugs\DRUG-014-lincomycin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Lincosamides / 林可酰胺类,wiki\drugs\DRUG-036-lincosamides.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Macrolides / 大环内酯类,wiki\drugs\DRUG-031-macrolides.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Meloxicam / 美洛昔康,wiki\drugs\DRUG-063-meloxicam.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Moxidectin / 莫昔克丁,wiki\drugs\DRUG-055-moxidectin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,NSAIDs / 非甾体抗炎药,wiki\drugs\DRUG-029-nsaids.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Neomycin / 新霉素,wiki\drugs\DRUG-024-neomycin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Oxytocin / 缩宫素,wiki\drugs\DRUG-067-oxytocin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Penicillin G / 青霉素G,wiki\drugs\DRUG-009-penicillin-g.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Permethrin / Deltamethrin / 氯菊酯/溴氰菊酯,wiki\drugs\DRUG-060-permethrin-deltamethrin.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
drug,Phosmet / Coumaphos / 伏杀硫磷/蝇毒磷,wiki\drugs\DRUG-059-phosmet-coumaphos.md,NEEDS_REVIEW,True,True,False,0,False,0,3,drug_needs_review
